DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
233,233.0,36.0,17.0,32.82,None,2.46,11.03,None,None,69.0,67.0,None,3020.76,None,None,None,69.0,None,None,11.97,88.02,15.74,16.33,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
234,234.0,36.0,13.81,32.79,None,2.48,12.69,None,None,69.0,67.0,None,3020.76,None,None,None,69.0,None,None,12.11,89.02,16.04,16.52,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
235,235.0,36.0,13.2,32.8,None,2.48,13.01,None,None,69.14,67.0,None,3020.76,None,None,None,69.14,None,None,12.24,90.02,16.35,16.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
236,236.0,36.0,9.29,32.65,None,2.63,12.81,None,None,68.67,67.0,None,3020.76,None,None,None,68.67,None,None,12.38,91.02,16.79,16.89,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
237,237.0,36.0,7.9,32.44,None,2.84,11.82,None,None,69.0,67.0,None,3020.76,None,None,None,69.0,None,None,12.52,92.02,17.32,17.07,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
238,238.0,36.0,5.99,31.46,None,3.82,9.29,None,None,69.0,68.0,None,3020.76,None,None,None,69.0,None,None,12.65,93.02,18.01,17.26,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
239,239.0,36.0,6.37,30.57,None,4.71,9.73,None,None,81.71,68.0,None,3020.76,None,None,None,81.71,None,None,12.79,94.02,18.78,17.45,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
240,240.0,36.0,5.86,30.52,None,4.76,10.08,None,None,98.86,68.0,None,3020.76,None,None,None,98.86,None,None,12.92,95.02,19.79,17.63,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
241,241.0,36.0,8.93,30.53,None,4.74,10.95,None,None,98.5,68.0,None,3020.76,None,None,None,98.5,None,None,13.06,96.02,20.45,17.82,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
242,242.0,36.0,8.26,30.55,None,4.73,10.51,None,None,98.71,68.0,None,3020.76,None,None,None,98.71,None,None,13.2,97.01,21.17,18.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
243,243.0,36.0,6.98,30.61,None,4.67,9.76,None,None,98.83,68.0,None,3020.76,None,None,None,98.83,None,None,13.33,98.01,22.02,18.19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244,244.0,36.0,8.38,30.61,None,4.67,10.37,None,None,99.0,68.0,None,3020.76,None,None,None,99.0,None,None,13.47,99.01,22.73,18.37,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
245,245.0,36.0,9.69,30.55,None,4.73,11.44,None,None,98.33,68.0,None,3020.76,None,None,None,98.33,None,None,13.6,100.01,23.34,18.56,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
246,246.0,36.0,8.92,30.55,None,4.73,10.42,None,None,98.86,68.0,None,3020.76,None,None,None,98.86,None,None,13.74,101.01,24.0,18.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
247,247.0,36.0,9.37,30.58,None,4.7,10.92,None,None,98.67,68.0,None,3020.76,None,None,None,98.67,None,None,13.88,102.01,24.63,18.93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
248,248.0,36.0,9.54,30.62,None,4.66,10.25,None,None,98.71,68.0,None,3020.76,None,None,None,98.71,None,None,14.01,103.01,25.25,19.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
249,249.0,36.0,8.78,30.64,None,4.64,10.43,None,None,98.57,69.0,None,3020.76,None,None,None,98.57,None,None,14.15,104.01,25.93,19.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
250,250.0,36.0,8.29,30.7,None,4.58,9.68,None,None,99.0,69.0,None,3020.76,None,None,None,99.0,None,None,14.28,105.01,26.65,19.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
251,251.0,36.0,11.95,31.35,None,3.93,0.34,None,None,89.57,69.0,None,3020.76,None,None,None,89.57,None,None,14.42,106.01,27.09,19.67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
252,252.0,36.0,11.95,30.89,None,4.39,8.63,None,None,89.0,69.0,None,3020.76,None,None,None,89.0,None,None,14.56,107.0,27.54,19.86,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
253,253.0,36.0,11.95,30.9,None,4.38,9.58,None,None,90.14,69.0,None,3020.76,None,None,None,90.14,None,None,14.69,108.0,27.99,20.04,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
254,254.0,36.0,19.61,31.16,None,4.13,7.82,None,None,88.83,69.0,None,3020.76,None,None,None,88.83,None,None,14.83,109.0,28.27,20.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
255,255.0,36.0,23.26,31.14,None,4.14,7.33,None,None,90.57,69.0,None,3020.76,None,None,None,90.57,None,None,14.96,110.0,28.5,20.41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
256,256.0,36.0,22.25,31.21,None,4.07,7.95,None,None,82.0,69.0,None,3020.76,None,None,None,82.0,None,None,15.1,111.0,28.72,20.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
